Computer Science 145
80
final, 45
assignments, 33
quizzes, 12
lab, 10
assignments, 29.01/33.01, A0
quizzes, 13.5/13.5, Q1
assignments, 60/54, A1
quizzes, 8.5/9, Q2
assignments, 41/41, A2
lab, 10/10, L1
lab, 8/10, L2
quizzes, 8/10, Q3
assignments, 44/44, A3
lab, 0/10, L3
quizzes, 0/10, Q4
assignments, 40/40, A4
lab, 10/10, L4 please update
quizzes, 5.75/6, Q5
assignments, 37/37, A5
lab, 8/8, L5
quizzes, 7/7, Q6
assignments, 45/45, A6
lab, 9/10, L6
quizzes, 0/7, Q7
assignments, 23/24, A7
quizzes, 12/13, Q8
lab, 10/10, L7 please update
assignments, 50/50, A8
lab, 10/10, L8 please update
quizzes, 11/11, Q9
assignments, 49/49, A9
lab, 10/10, L9 please update
quizzes, 9/10, Q10
quizzes, 8/9, Q11
assignments, 63/63, A10 please update
quizzes, 6/6, Q12
lab, 0/6, L10
