Physics 117
70
final, 40
midterm, 30
lab, 25
lab_test, 0
not_needed, 0
quizzes, 5
quizzes, 10/10, Q1
quizzes, 10/10, Q2
not_needed, 0.90, La1 Scavenger Hunt (grade uncertain)
not_needed, 0.85, La2 Cladistics (grade uncertain)
not_needed, 0.7, La3/4 Drawings pt.1 and pt.2
midterm, 0.8875, midterm
not_needed, 0.65, La5 Rock analysis
quizzes, 8/10, Q3
not_needed, 0.75, La6
quizzes, 9/10, Q4
not_needed, 27/32, La7
midterm, 0.95, midterm 2
quizzes, 9/10, Q5
not_needed, 6/10, pessimistic estimate
lab, 0.8016, lab final grade
