Physics 117
80
final, 50
assignments, 10
midterm, 25
lab, 10
lab_test, 5
assignments, 9.75/10, A1
assignments, 10/10, A2
assignments, 6/10, A3
assignments, 9/10, A4
lab_test, 2/2, M19 Pre
lab, 7/8, M19
lab_test, 1.33/2, M19 Post
lab_test, 0.66/2, S1 Pre
assignments, 9.5/10, A5
lab, 8/8, S1
lab_test, 0/2, S1 Post
lab_test, 0/2, L11 Pre
midterm, 22/36, midterm
lab_test, 1.34/2, L11 Post
assignments, 9/10, A7
assignments, 9.5/10, A8
lab, 8/8, L11
lab_test, 0/2, MP6 Pre
lab, 8/8, MP6
lab_test, 1.33/2, MP6 Post
assignments, 9.75/10, A9
assignments, 8.66/10, A10
assignments, 9.5/10, A11
lab_test, 0/2, MP9 Pre
lab_test, 2/2, MP9 Post
lab, 8/8, MP9
