Computer Science 145
70
final, 45
assignments, 33
quizzes, 12
lab, 10
assignments, 29.01/33.01, A0
quizzes, 13.5/13.5, Q1
assignments, 60/54, A1
quizzes, 8.5/9, Q2
assignments, 41/41, A2
lab, 10/10, L1
lab, 8/10, L2
quizzes, 8/10, Q3
assignments, 44/44, A3
lab, 0/10, L3
quizzes, 0/10, Q4
assignments, 40/40, A4
lab, 10/10, L4 please update
quizzes, 5.75/6, Q5
assignments, 37/37, A5 please update
lab, 8/8, L5 please update
quizzes, 7/7, Q6
assignments, 45/45, A6 please update
lab, 10/10, L6 please update
