type,grade,description
assignments,100,1
labtests,100,M35-Pre
assignments,100,2
labtests,100,M35-Post
labreports,100,M35
assignments,100,3
assignments,100,4
labtests,100,M3-Pre
assignments,100,5
labtests,33.5,M3-Post
labreports,87.5,M3
labtests,100,M36-Pre
assignments,85,7
labtests,66.5,M36-Post
labreports,87.5,M36
assignments,100,8
labtests,0,E7-Pre
assignments,90,9
labtests,67,E7-Post
assignments,75,10
labreports,87.5,E7-Predicted
labreports,87.5,B43-Predicted
labtests,100,B43-Pre
labtests,60,B43-Post-Predicted
midterm,90,midterm
