level,room,width_ft_in,length_ft_in,width_ft,length_ft,area_sqft
M,Porch,17.8,7.2,17.667,7.167,126.61
M,Kitchen,11.3,8.1,11.25,8.083,90.94
M,Dining Room,10.3,8.1,10.25,8.083,82.85
M,Living Room,19.10,11.8,19.833,11.667,231.39
M,Bedroom,15.4,10.2,15.333,10.167,155.89
M,Laundry,9.10,8.2,9.833,8.167,80.31
2,Bedroom,15.7,12.2,15.583,12.167,189.60
2,4-pc bath,8.9,7.7,8.75,7.583,66.35
2,Kitchen,9.1,9.3,9.083,9.25,84.02
2,Living Room,11.8,10,11.667,10,116.67
2,Dining Room,11.1,10,11.083,10,110.83
3,Kitchen,8,11.5,8,11.417,91.33
3,Dining Room,11.10,9,11.833,9,106.50
3,Bedroom,16,11.10,16,11.833,189.33
3,Living Room,15.9,13.8,15.75,13.667,215.25
B,Laundry/Utility,27.1,8.10,27.083,8.833,239.24
B,Family Room,25.5,10.10,25.417,10.833,275.35
