name,series,code,mer,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Scotia Wealth Canadian Preferred Share Pool,K,PIN6500,0.25,,,,,13.6,-8.5,3.0,11.5,23.8,-17.6,9.1
Scotia INNOVA Growth Portfolio Class,T,BNS1433,2.36,,,7.2,4.1,7.4,-4.4,13.8,5.2,12.9,-11.6,10.6
Scotia Wealth High Yield Bond Pool,K,PIN6170,0.16,,,,,,,,,7.3,-9.4,
Scotia Global Balanced Fund,A,BNS311,2.06,,11.2,10.6,-2.3,8.5,-4.5,15.1,2.2,5.8,-8.5,7.8
Scotia Canadian Growth Fund,F,BNS572,1.17,,12.2,6.1,1.6,3.4,-15.0,22.7,17.2,30.0,-14.4,24.1
Scotia Global Equity Fund,F,BNS588,1.42,,6.9,18.9,-1.3,13.5,-2.3,17.8,22.0,10.0,-12.6,14.9
Scotia Wealth World Infrastructure Pool,K,PIN6730,0.43,,,,,,,,,10.0,-0.7,0.5
Scotia Wealth Canadian Value Pool,Pinnacle,PIN400,0.21,,4.2,-7.7,27.5,10.8,-10.9,21.6,4.6,32.1,0.9,9.2
Scotia Global Dividend Fund,F,BNS512,0.95,,,,,,,,,,,10.6
Scotia Resource Fund,A,BNS362,2.32,,2.8,-14.5,45.8,10.8,-11.9,18.6,7.0,19.2,13.6,0.8
Scotia Partners Maximum Growth Portfolio,FT,BNS5449,1.43,,,,,,,,,,,12.3
Scotia U.S. Dividend Fund,A,BNS373,1.94,,15.8,12.3,9.8,11.2,-0.9,20.7,13.8,24.3,-10.9,12.0
Scotia INNOVA Balanced Growth Portfolio,T,BNS432,2.14,,8.8,4.8,3.9,5.9,-3.1,10.7,4.3,9.2,-10.5,9.1
1832 AM U.S. $ Investment Grade U.S. Corporate Bond Pool,I,BNS670,0.03,,,,,,,12.4,8.1,0.0,-9.0,9.3
Scotia Wealth U.S. Dividend Pool,M,,0.14,,16.9,17.7,3.7,14.0,5.8,22.9,15.3,25.4,-1.8,19.2
Scotia Wealth Floating Rate Income Pool,M,,0.15,,,0.2,2.4,2.7,1.2,3.3,3.1,0.7,1.3,6.7
Scotia Wealth Emerging Markets Pool,Pinnacle,PIN655,0.37,,9.0,-3.0,4.0,28.8,-10.0,9.6,9.6,-2.8,-18.4,2.0
Scotia INNOVA Maximum Growth Portfolio Class,A,BNS1334,2.45,,11.2,9.1,4.0,9.1,-5.7,16.2,5.5,16.5,-12.0,12.0
Scotia Partners Balanced Income Portfolio Class,T,BNS1446,2.25,,,,,4.2,-1.5,8.9,7.2,3.3,-12.2,7.5
Scotia U.S. Opportunities Fund,F,BNS591,1.4,,12.2,9.6,6.4,1.0,-3.2,23.2,10.7,29.1,-12.2,12.3
Scotia Partners Income Portfolio,A,BNS313,2.07,,7.2,2.8,3.8,3.7,-1.2,8.0,6.5,1.8,-12.3,7.0
Scotia Money Market Fund,K,PIN6100,0.04,,,,,1.1,1.8,2.0,1.0,0.3,2.1,5.1
Scotia Wealth Global Real Estate Pool,F,PIN1650,1.26,,22.7,18.9,-0.4,1.2,1.1,15.2,-7.4,28.4,-22.7,8.0
Scotia Wealth Global Equity Pool,M,,0.68,,,,,,,,30.6,19.1,-24.6,21.3
